day,period,courseCode,teacherEmail,section
MONDAY,1,CS101,teacher@college.edu,A
MONDAY,2,CS102,teacher@college.edu,A
MONDAY,3,CS101,teacher@college.edu,B
MONDAY,4,CS102,teacher@college.edu,B
TUESDAY,1,CS102,teacher@college.edu,A
TUESDAY,2,CS101,teacher@college.edu,A
TUESDAY,3,CS102,teacher@college.edu,B
TUESDAY,4,CS101,teacher@college.edu,B
WEDNESDAY,1,CS101,teacher@college.edu,A
WEDNESDAY,2,CS102,teacher@college.edu,A
WEDNESDAY,3,CS101,teacher@college.edu,B
WEDNESDAY,4,CS102,teacher@college.edu,B
THURSDAY,1,CS102,teacher@college.edu,A
THURSDAY,2,CS101,teacher@college.edu,A
THURSDAY,3,CS102,teacher@college.edu,B
THURSDAY,4,CS101,teacher@college.edu,B
FRIDAY,1,CS101,teacher@college.edu,A
FRIDAY,2,CS102,teacher@college.edu,A
FRIDAY,3,CS101,teacher@college.edu,B
FRIDAY,4,CS102,teacher@college.edu,B
